Name,HP,SP,DEF,RES,SPD,EVA,Stat Total,Link,URL,Image,Full Name,Passive 1,Passive 2,Passive 3,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Passives,Skills,ID,Date
Reimu,5,9,1,1,5,1,22,🔗,https://tbs-crossover-arena.fandom.com/wiki/Reimu,,Reimu Hakurei,"Grand Incantation
When Reimu rallies, she gains [Crit 3]. ",,,"Yin-Yang Orb 
[ATK] Cost 2 SP
One Enemy: [Spirit 3]","Fantasy Seal 
[MAG] Cost 3 SP
All Enemies: [Spirit 3]
This Skill has -1 ACC. ","Exorcising Border 
[SUP] Cost 3 SP
All Allies : Recover 3 HP.","Great Hakurei Barrier 
[SUP] Cost 5 SP
All Allies : [+3 DEF] or [+3 RES]",,1,4,001,11/6/2020
Marisa,3,18,0,1,7,3,32,🔗,https://tbs-crossover-arena.fandom.com/wiki/Marisa,,Marisa Kirisame,"Magic Overflowing
While this unit is in front,
all Mystic damage is increased by 1.",,,"Magic Missile 
[MAG] Cost 2 SP
One Enemy: [Mystic 4]","Asteroid Belt 
[MAG] Cost 4 SP
All Enemies: [Mystic 3]
This Skill has -1 ACC. ","Concentration
[SUP] Cost 3 SP
Self: [+3 SP] Recover 6 SP.","Master Spark 
[MAG] Cost X SP
All Enemies: [Mystic Y]
This Skill has -1 ACC.
X = Marisa's current SP.
Y = X - 3",,1,4,002,11/6/2020
Chen,3,3,0,0,10,5,21,🔗,https://tbs-crossover-arena.fandom.com/wiki/Chen,,Chen,"Instant Attack
When Chen is swapped,
She recovers her turn.
(Once per round.)",,,"Flight of Idaten
[ATK] Cost 1 SP
One Enemy : [Pierce 3]","Phoenix Spread Wings
[ATK] Cost 2 SP
Two Enemies : [Fire 2]","Kimontonkou
[SUP] Cost 1 SP
Self : [+3 ATK]",,,1,3,003,11/6/2020
Cirno,4,7,2,2,7,3,25,🔗,https://tbs-crossover-arena.fandom.com/wiki/Cirno,,Cirno,"Blizzard Blowout
When this unit is KO'ed,
All front enemies gain [-2 SPD].",,,"Icicle Fall
[ATK] Cost 2 SP
One Enemy: [Cold 2] [-3 SPD]","Diamond Blizzard
[ATK] Cost 6 SP
All Enemies: [Cold 4] [Paralysis 1]
This Skill has -1 ACC. ","Perfect Freeze
[ATK] Cost 5 SP
All Enemies: [Cold 3] {50% -3 SPD}
This Skill has -1 ACC.","White Album
[SUP] Cost 3 SP
Self: [+3 DEF, RES]",,1,4,004,11/6/2020
Emilie,6,8,1,0,7,4,26,🔗,https://tbs-crossover-arena.fandom.com/wiki/Emilie,,Sophie de Belmond,"Dashing In
When Emilie is switched in,
She gains [+3 SPD].",,,"Beatdown
[ATK] Cost 2 SP
Two Enemies : [Impact 2]
Deals +1 damage if Emilie has [+3 SPD].","Faucon Poing
[ATK] Cost 4 SP
One Enemy : [Fire 5] {20% Burn 3}","Amber Thrust
[ATK] Cost 6 SP
All Enemies : [Electric 2] [Paralysis 2]
This Skill has -1 ACC. ","Azure Strike
[ATK] Cost 4 SP
One Enemy : [Impact X]
X = (Emilie' SPD) - (Target's SPD)",,1,4,005,11/6/2020
Momiji,8,9,4,2,6,2,31,🔗,https://tbs-crossover-arena.fandom.com/wiki/Momiji,,Momiji Inubashiri,"Ability to See Far Distances
At the start of Momiji's turn,
all allies gain [+2 ACC].","Eyes that Perceive Reality
Momiji ignores her target's Stat Boosts.  ",,"Rabies Bite
[ATK] Cost 3 SP
One Enemy: [Pierce 3] 
This Skill has Break 2 and +2 ACC.","Expellee's Canaan
[ATK] Cost 4 SP
All Enemies: [Wind 3]
This Skill has -1 ACC.",,,,2,2,006,11/6/2020
Gaius,8,7,1,0,7,4,27,🔗,https://tbs-crossover-arena.fandom.com/wiki/Gaius,,Gaius,"Pay me in Candy
When Gaius KOs a target,
recover 6 SP.",,,"Steal
[SUP] Cost 1 SP
One Other Target : All of the target's Status Effects
are transferred onto Gaius.","Candied Dagger
[ATK] Cost 3 SP
One Enemy: [Blade 3] {50% -2 DEF,RES}","Levin Sword
[MAG] Cost 2 SP
One Enemy: [Electric 3]",,,1,3,007,11/8/2020
Parsee,4,7,2,4,5,2,24,🔗,https://tbs-crossover-arena.fandom.com/wiki/Parsee,,Parsee Mizuhashi,"Flames of Jealousy
When Parsee is in front,
All Dark damage is increased by 1.",,,"Large Box and Small Box
[ATK] Cost 2 SP
One Enemy: [Impact 2] {30% 3*damage}","Midnight Anathema Ritual
[ATK] Cost 1 SP
One Enemy: [Dark 0] {50% Terror 4, Silence 2}","Grudge Returning
[ATK] Cost 2 SP
All Enemies: [Dark 0] [Terror 2]  
This Skill has -1 ACC. ","Jealousy of the Kind and Lovely
[ATK] Cost 4 SP
All Enemies: [Dark 6]
Only hits targets with Terror.
This Skill has -1 ACC.",,1,4,008,11/9/2020
Stahl,8,8,2,2,5,1,26,🔗,https://tbs-crossover-arena.fandom.com/wiki/Stahl,,Stahl,"The Exact Median of the Army
At the end of Stahl's turn,
All Other Allies gain Stahl's Stat Changes. ",,,"Apprentice Apothecary
[SUP] Cost 2 SP
One Ally : Recover 4 HP.","Viridian Shield
[SUP] Cost 2 SP
Self : [+2 ATK,DEF] [-2 SPD]","Strike of the Panther
[ATK] Cost 4 SP
Two Enemies : [Blade 4]",,,1,3,009,11/9/2020
Therion,8,10,2,1,7,3,31,🔗,https://tbs-crossover-arena.fandom.com/wiki/Therion,,Therion,"Snatch
Enemies damaged by Therion's skills lose 1 SP.
Therion's SP may go above his MAX SP through effects.
",,,"Steal SP
[ATK] Cost 2 SP
One Enemy : [Blade 3]
Self: Recover X SP. 
X = damage dealt * 2","Wildfire
[MAG] Cost 4 SP
One Enemy : [Fire 5]","Share SP
[SUP] Cost X SP
One Ally : Recover X SP.
X may be any positive number.","Aeber's Reckoning
[ATK] Cost 14 SP
All Enemies : [X Blade]
X = Therion's SPD * 2
This Skill has -1 ACC.",,1,4,010,11/10/2020
