Character,#,Text,Char ID,Skill ID,Name,Skill Type,Cost,Target,Damage Type,Damage,Inflict,Accuracy,Effect,Self
Reimu,1,"Yin-Yang Orb 
[ATK] Cost 2 SP
One Enemy: [Spirit 3]",001,14,Yin-Yang Orb ,ATK,2 SP,One Enemy,Spirit,3,,,,
Reimu,2,"Fantasy Seal 
[MAG] Cost 3 SP
All Enemies: [Spirit 3]
This Skill has -1 ACC. ",001,15,Fantasy Seal ,MAG,3 SP,All Enemies,Spirit,3,,-1,,
Reimu,3,"Exorcising Border 
[SUP] Cost 3 SP
All Allies : Recover 3 HP.",001,16,Exorcising Border ,SUP,3 SP,All Allies,,,"{""RecoverHP"":3}",,,
Reimu,4,"Great Hakurei Barrier 
[SUP] Cost 5 SP
All Allies : [+3 DEF] or [+3 RES]",001,17,Great Hakurei Barrier ,SUP,5 SP,All Allies,,,"{""The_Begining_of_the_End"":0}",,,
Marisa,1,"Magic Missile 
[MAG] Cost 2 SP
One Enemy: [Mystic 4]",002,24,Magic Missile ,MAG,2 SP,One Enemy,Mystic,4,,,,
Marisa,2,"Asteroid Belt 
[MAG] Cost 4 SP
All Enemies: [Mystic 3]
This Skill has -1 ACC. ",002,25,Asteroid Belt ,MAG,4 SP,All Enemies,Mystic,3,,-1,,
Marisa,3,"Concentration
[SUP] Cost 3 SP
Self: [+3 SP] Recover 6 SP.",002,26,Concentration,SUP,3 SP,Self,,,"{""MAXSP"":3,""RecoverSP"":6}",,,
Marisa,4,"Master Spark 
[MAG] Cost X SP
All Enemies: [Mystic Y]
This Skill has -1 ACC.
X = Marisa's current SP.
Y = X - 3",002,27,Master Spark ,MAG,X SP,All Enemies,Mystic,Y,,-1,,
Chen,1,"Flight of Idaten
[ATK] Cost 1 SP
One Enemy : [Pierce 3]",003,34,Flight of Idaten,ATK,1 SP,One Enemy,Pierce,3,,,,
Chen,2,"Phoenix Spread Wings
[ATK] Cost 2 SP
Two Enemies : [Fire 2]",003,35,Phoenix Spread Wings,ATK,2 SP,Two Enemies,Fire,2,,,,
Chen,3,"Kimontonkou
[SUP] Cost 1 SP
Self : [+3 ATK]",003,36,"Kimontonkou",SUP,1 SP,Self,,,"{""ATK"":3}",,,
Cirno,1,"Icicle Fall
[ATK] Cost 2 SP
One Enemy: [Cold 2] [-3 SPD]",004,44,Icicle Fall,ATK,2 SP,One Enemy,Cold,2,"{""SPD"":-3}",,,
Cirno,2,"Diamond Blizzard
[ATK] Cost 6 SP
All Enemies: [Cold 4] [Paralysis 1]
This Skill has -1 ACC. ",004,45,Diamond Blizzard,ATK,6 SP,All Enemies,Cold,4,"{""Paralysis"":1}",-1,,
Cirno,3,"Perfect Freeze
[ATK] Cost 5 SP
All Enemies: [Cold 3] {50% -3 SPD}
This Skill has -1 ACC.",004,46,Perfect Freeze,ATK,5 SP,All Enemies,Cold,3,"{""SPD"":[50,-3]}",-1,,
Cirno,4,"White Album
[SUP] Cost 3 SP
Self: [+3 DEF, RES]",004,47,"White Album",SUP,3 SP,Self,,,"{""DFN"":3,""RES"":3}",,,
Emilie,1,"Beatdown
[ATK] Cost 2 SP
Two Enemies : [Impact 2]
Deals +1 damage if Emilie has [+3 SPD].",005,54,Beatdown,ATK,2 SP,Two Enemies,Impact,2,,,,
Emilie,2,"Faucon Poing
[ATK] Cost 4 SP
One Enemy : [Fire 5] {20% Burn 3}",005,55,Faucon Poing,ATK,4 SP,One Enemy,Fire,5,"{""Burn"":[20,3]}",,,
Emilie,3,"Amber Thrust
[ATK] Cost 6 SP
All Enemies : [Electric 2] [Paralysis 2]
This Skill has -1 ACC. ",005,56,Amber Thrust,ATK,6 SP,All Enemies,Electric,2,"{""Paralysis"":2}",-1,,
Emilie,4,"Azure Strike
[ATK] Cost 4 SP
One Enemy : [Impact X]
X = (Emilie' SPD) - (Target's SPD)",005,57,Azure Strike,ATK,4 SP,One Enemy,Impact,X,,,,
Momiji,1,"Rabies Bite
[ATK] Cost 3 SP
One Enemy: [Pierce 3] 
This Skill has Break 2 and +2 ACC.",006,64,"Rabies Bite",ATK,3 SP,One Enemy,Pierce,3,,2,"{""Break"":2}",
Momiji,2,"Expellee's Canaan
[ATK] Cost 4 SP
All Enemies: [Wind 3]
This Skill has -1 ACC.",006,65,Expellee's Canaan,ATK,4 SP,All Enemies,Wind,3,,-1,,
Gaius,1,"Steal
[SUP] Cost 1 SP
One Other Target : All of the target's Status Effects
are transferred onto Gaius.",007,74,Steal,SUP,1 SP,One Other Target,,,,,,
Gaius,2,"Candied Dagger
[ATK] Cost 3 SP
One Enemy: [Blade 3] {50% -2 DEF,RES}",007,75,Candied Dagger,ATK,3 SP,One Enemy,Blade,3,"{""DFN"":[50,-2],""RES"":[50,-2]}",,,
Gaius,3,"Levin Sword
[MAG] Cost 2 SP
One Enemy: [Electric 3]",007,76,Levin Sword,MAG,2 SP,One Enemy,Electric,3,,,,
Parsee,1,"Large Box and Small Box
[ATK] Cost 2 SP
One Enemy: [Impact 2] {30% 3*damage}",008,84,Large Box and Small Box,ATK,2 SP,One Enemy,Impact,2,"{""damage"":[30,3]}",,,
Parsee,2,"Midnight Anathema Ritual
[ATK] Cost 1 SP
One Enemy: [Dark 0] {50% Terror 4, Silence 2}",008,85,Midnight Anathema Ritual,ATK,1 SP,One Enemy,Dark,0,"{""Terror"":[50,4],""Silence"":[50,2]}",,,
Parsee,3,"Grudge Returning
[ATK] Cost 2 SP
All Enemies: [Dark 0] [Terror 2]  
This Skill has -1 ACC. ",008,86,Grudge Returning,ATK,2 SP,All Enemies,Dark,0,"{""Terror"":2}",-1,,
Parsee,4,"Jealousy of the Kind and Lovely
[ATK] Cost 4 SP
All Enemies: [Dark 6]
Only hits targets with Terror.
This Skill has -1 ACC.",008,87,Jealousy of the Kind and Lovely,ATK,4 SP,All Enemies,Dark,6,,-1,,
Stahl,1,"Apprentice Apothecary
[SUP] Cost 2 SP
One Ally : Recover 4 HP.",009,94,Apprentice Apothecary,SUP,2 SP,One Ally,,,"{""RecoverHP"":4}",,,
Stahl,2,"Viridian Shield
[SUP] Cost 2 SP
Self : [+2 ATK,DEF] [-2 SPD]",009,95,Viridian Shield,SUP,2 SP,Self,,,"{""ATK"":2,""DFN"":2,""SPD"":-2}",,,
Stahl,3,"Strike of the Panther
[ATK] Cost 4 SP
Two Enemies : [Blade 4]",009,96,Strike of the Panther,ATK,4 SP,Two Enemies,Blade,4,,,,
Therion,1,"Steal SP
[ATK] Cost 2 SP
One Enemy : [Blade 3]
Self: Recover X SP. 
X = damage dealt * 2",010,104,Steal SP,ATK,2 SP,One Enemy,Blade,3,,,,"{""RecoverSP"":0}"
Therion,2,"Wildfire
[MAG] Cost 4 SP
One Enemy : [Fire 5]",010,105,Wildfire,MAG,4 SP,One Enemy,Fire,5,,,,
Therion,3,"Share SP
[SUP] Cost X SP
One Ally : Recover X SP.
X may be any positive number.",010,106,Share SP,SUP,X SP,One Ally,,,"{""RecoverSP"":0}",,,
Therion,4,"Aeber's Reckoning
[ATK] Cost 14 SP
All Enemies : [X Blade]
X = Therion's SPD * 2
This Skill has -1 ACC.",010,107,Aeber's Reckoning,ATK,14 SP,All Enemies,X,Blade,,-1,,
Kogasa,1,"Karakasa Surprising Flash
[ATK] Cost 3 SP
All Enemies: [Nature 2] {40% Terror 2}
This Skill has -1 ACC. ",011,114,Karakasa Surprising Flash,ATK,3 SP,All Enemies,Nature,2,"{""Terror"":[40,2]}",-1,,
Kogasa,2,"A Rainy Night's Ghost Story
[ATK] Cost 2 SP
One Enemy: [Dark 2] {70% -2 RES} {70% Terror 3}",011,115,A Rainy Night's Ghost Story,ATK,2 SP,One Enemy,Dark,2,"{""RES"":[70,-2],""Terror"":[70,3]}",,,
Kogasa,3,"Drizzling Large Raindrops
[ATK] Cost 2 SP
All Enemies: [Water 1]
This Skill has -1 ACC.",011,116,Drizzling Large Raindrops,ATK,2 SP,All Enemies,Water,1,,-1,,
Kogasa,4,"Competent Blacksmith?
[SUP] Cost 3 SP
One Ally : [+2 ATK,DEF]   ",011,117,Competent Blacksmith?,SUP,3 SP,One Ally,,,"{""ATK"":2,""DFN"":2}",,,
Will,1,"Expert Shot
[ATK] Cost 4 SP
One Enemy : [Pierce 3] 
This skill has Precision.",012,124,Expert Shot,ATK,4 SP,One Enemy,Pierce,3,,,"{""Precision"":1}",
Will,2,"Unexpected Strategy
[SUP] Cost 4 SP
All Enemies : [-2 DEF,RES]",012,125,"Unexpected Strategy",SUP,4 SP,All Enemies,,,"{""DFN"":-2,""RES"":-2}",,,
Will,3,"Double Knife Defense
[ATK] Cost 1 SP
One Enemy : [Blade 1] 
Self : [+2 DEF]",012,126,"Double Knife Defense",ATK,1 SP,One Enemy,Blade,1,,,,"{""DFN"":2}"
Will,4,"Hit-and-Run Tactics
[SUP] Cost 3 SP
One Enemy : [Terror 2]
Swap an ally Tug. ",012,127,Hit-and-Run Tactics,SUP,3 SP,One Enemy,,,"{""Terror"":2}",,,
Komachi,1,"Short Life Expectancy
[ATK] Cost 1 SP
One Enemy : [Blade 2] {30% Death 1}",013,134,Short Life Expectancy,ATK,1 SP,One Enemy,Blade,2,"{""Death"":[30,1]}",,,
Komachi,2,"Ferriage in the Deep Fog
[ATK] Cost 2 SP
Two Enemies : [Cold 2] {20% Death 1}",013,135,Ferriage in the Deep Fog,ATK,2 SP,Two Enemies,Cold,2,"{""Death"":[20,1]}",,,
Komachi,3,"The Endless Way 
[SUP] Cost 3 SP
All Allies : [Distance 2]",013,136,"The Endless Way ",SUP,3 SP,All Allies,,,"{""Distance"":2}",,,
Komachi,4,"Scythe that Chooses the Dead
[ATK] Cost 4 SP
One Enemy : [Blade 5]",013,137,"Scythe that Chooses the Dead",ATK,4 SP,One Enemy,Blade,5,,,,
Olberic,1,"Stout Wall
[SUP] Cost 1 SP
Self: [+2 DEF]",014,144,"Stout Wall",SUP,1 SP,Self,,,"{""DEF"":2}",,,
Olberic,2,"Incite
[SUP] Cost 2 SP
Self: [Taunt 3]",014,145,"Incite",SUP,2 SP,Self,,,"{""Taunt"":3}",,,
Olberic,3,"Cross Strike
[ATK] Cost 3 SP
One Enemy: [Blade 4]",014,146,"Cross Strike",ATK,3 SP,One Enemy,Blade,4,,,,
Olberic,4,"Thousand Spears
[ATK] Cost 5 SP
All Enemies: [Pierce 6]
This skill has -5 ACC.",014,147,"Thousand Spears",ATK,5 SP,All Enemies,Pierce,6,,-5,,
Youmu,1,"Present Life Slash
[ATK] Cost 4 SP
One Enemy : [3 Blade]
This skill has Scope and +4 ACC.",015,154,"Present Life Slash",ATK,4 SP,One Enemy,#N/A,,,4,,
Youmu,2,"Slash of Eternity
[ATK] Cost 8 SP
One Enemy : [12 Blade]
Self : [-1 SPD,DEF]
This Skill has +2 ACC. ",015,155,"Slash of Eternity",ATK,8 SP,One Enemy,#N/A,,,4,,
Youmu,3,"Divine Slash of Karmic Wind
[ATK] Cost 11 SP
All Enemies: [10 Wind]
Self : [-2 SPD,DEF] 
This Skill has +3 ACC. ",015,156,"Divine Slash of Karmic Wind",ATK,11 SP,All Enemies,#N/A,,,3,,
Youmu,4,"Slash Clearing the Six Senses
[ATK] Cost 7 SP
All Enemies : [Nature 5]
Self : [Cure 1] 
This Skill has -1 ACC.",015,157,"Slash Clearing the Six Senses",ATK,7 SP,All Enemies,Nature,5,,-1,,
Sully,1,"Fiery Words
[SUP] Cost 3 SP
All Allies : [Crit 2] [Bold 2] [-2 RES]",016,164,"Fiery Words",SUP,3 SP,All Allies,,,,,,
Sully,2,"Swordbreaker
[ATK] Cost 4 SP
One Enemy: [Pierce 8]
If target does not have a Blade Skill, this Skill has no effect.",016,165,"Swordbreaker",ATK,4 SP,One Enemy,Pierce,8,,,,
Sully,3,"Charge of the Bull
[ATK] Cost 4 SP
Two Enemies : [Pierce 4]",016,166,Charge of the Bull,ATK,4 SP,Two Enemies,Pierce,4,,,,
Vaike,1,"Teach's Lesson
[SUP] Cost 2 SP
One Ally : [+4 ATK] [-3 SPD]",017,174,"Teach's Lesson",SUP,2 SP,One Ally,,,,,,
Vaike,2,"""Here Comes The Vaike!""
[ATK] Cost 5 SP
Two Enemies : [Impact 5 + X]
X = [5 - Vaike's SPD]",017,175,"""Here Comes The Vaike!""",ATK,5 SP,Two Enemies,#N/A,,,,,
Vaike,3,"Tomahawk
[ATK] Cost 3 SP
One Enemy : [Impact 4]
This Skill has Scope and -2 ACC.",017,176,"Tomahawk",ATK,3 SP,One Enemy,Impact,4,,,,
Keine,1,"Ancient History - Old History
[MAG] Cost 4 SP
All Enemies : [Dark 3]
This Skill's damage is reduced by
the opposite defensive stat.
This Skill has -1 ACC.",018,184,"Ancient History - Old History",MAG,4 SP,All Enemies,Dark,3,,,,
Keine,2,"New History - Next History
[MAG] Cost 4 SP
All Enemies : [Spirit 3]
This Skill has -1 ACC. ",018,185,"New History - Next History",MAG,4 SP,All Enemies,Spirit,3,,,,
Keine,3,"Three Treasures - Sword
[SUP] Cost 3 SP
All Allies : [+1 ATK,MAG,SPD]",018,186,"Three Treasures - Sword",SUP,3 SP,All Allies,,,,,,
Keine,4,"Three Treasures - Mirror
[SUP] Cost 3 SP
All Allies : [+1 DEF,RES,EVA]",018,187,"Three Treasures - Mirror",SUP,3 SP,All Allies,,,,,,
Minoriko,1,"Autumn Sky
[MAG] Cost 2 SP
One Enemy: [2 Nature]  
Minoriko gains [+2 SPD].",019,194,"Autumn Sky",MAG,2 SP,One Enemy,#N/A,,,,,
Minoriko,2,"Warm Color Harvest
[MAG] Cost 6 SP
All Enemies: [X Nature] 
X = RES.
This Skill has -1 ACC. ",019,195,"Warm Color Harvest",MAG,6 SP,All Enemies,X,Nature,,,,
Minoriko,3,"Sweet Potato Room
[SUP] Cost 3 SP
One Ally: Recover 6 HP.",019,196,"Sweet Potato Room",SUP,3 SP,One Ally,,,,,,
Minoriko,4,"Owotoshi Harvester
[SUP] Cost 3 SP
One Ally: [+2 DEF, RES].",019,197,"Owotoshi Harvester",SUP,3 SP,One Ally,,,,,,
Ophilia,1,"Heal Wounds
[SUP] Cost 5 SP
All Allies: Recover 5 HP.",020,204,"Heal Wounds",SUP,5 SP,All Allies,,,,,,
